@relation snmp

@attribute Source {172.31.19.54,172.31.19.73}
@attribute Destination {172.31.19.73,172.31.19.54,224.0.1.35,172.31.19.255}
@attribute Protocol {SNMP,SRVLOC,NBNS,BROWSER,ICMP}
@attribute Length numeric
@attribute Info {'get-request 1.3.6.1.2.1.1.2.0','get-response 1.3.6.1.2.1.1.2.0','get-request 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0','get-response 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0','get-request 1.3.6.1.2.1.2.2.1.6.1','get-response 1.3.6.1.2.1.2.2.1.6.1','get-request 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130104 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130102 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14130400','get-response 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130104 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130102 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14130400','get-request 1.3.6.1.2.1.43.14.1.1.6.1.5','get-response 1.3.6.1.2.1.43.14.1.1.6.1.5','get-request 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14150900','get-response 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14150900','get-request 1.3.6.1.4.1.253.8.51.8.1.3.0 1.3.6.1.4.1.253.8.51.8.1.1.0','get-response 1.3.6.1.4.1.253.8.51.8.1.3.0 1.3.6.1.4.1.253.8.51.8.1.1.0','set-request 1.3.6.1.4.1.253.8.51.8.2.1.2.1 1.3.6.1.4.1.253.8.51.8.2.1.3.1 1.3.6.1.4.1.253.8.51.8.2.1.4.1 1.3.6.1.4.1.253.8.51.8.2.1.5.1','get-response 1.3.6.1.4.1.253.8.51.8.2.1.2.1 1.3.6.1.4.1.253.8.51.8.2.1.3.1 1.3.6.1.4.1.253.8.51.8.2.1.4.1 1.3.6.1.4.1.253.8.51.8.2.1.5.1','set-request 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1','get-response 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1','set-request 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130101 1.3.6.1.4.1.253.8.51.10.2.1.5.10.14130400 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130102 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130104','get-response 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130101 1.3.6.1.4.1.253.8.51.10.2.1.5.10.14130400 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130102 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130104','set-request 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1 1.3.6.1.4.1.253.8.51.9.2.1.4.10.1 1.3.6.1.4.1.253.8.51.9.2.1.3.10.1','get-response 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1 1.3.6.1.4.1.253.8.51.9.2.1.4.10.1 1.3.6.1.4.1.253.8.51.9.2.1.3.10.1','get-request 1.3.6.1.4.1.253.8.51.9.2.1.5.10.1 1.3.6.1.4.1.253.8.51.9.2.1.6.10.1','get-response 1.3.6.1.4.1.253.8.51.9.2.1.5.10.1 1.3.6.1.4.1.253.8.51.9.2.1.6.10.1','set-request 1.3.6.1.4.1.253.8.51.9.2.1.4.10.1','get-response 1.3.6.1.4.1.253.8.51.9.2.1.4.10.1','Service Request, V1 Transaction ID - 1','Registration NB OKI-15E6BC<20>','Registration NB OKI-15E6BC<03>','Registration NB OKI-15E6BC<00>','Registration NB OKI-15E6BC<1f>','Registration NB WORKGROUP<1e>','Registration NB WORKGROUP<00>','Host Announcement OKI-15E6BC, Workstation, Server, Print Queue Server, Windows for Workgroups, Potential Browser, Windows 95 or above','get-request 1.3.6.1.2.1.1.3.0','Destination unreachable (Port unreachable)','Browser Election Request','get-response 1.3.6.1.2.1.1.3.0'}

@data
172.31.19.54,172.31.19.73,SNMP,82,'get-request 1.3.6.1.2.1.1.2.0'
172.31.19.54,172.31.19.73,SNMP,96,'get-request 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0'
172.31.19.73,172.31.19.54,SNMP,115,'get-response 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0'
172.31.19.54,172.31.19.73,SNMP,178,'set-request 1.3.6.1.4.1.253.8.51.8.2.1.2.1 1.3.6.1.4.1.253.8.51.8.2.1.3.1 1.3.6.1.4.1.253.8.51.8.2.1.4.1 1.3.6.1.4.1.253.8.51.8.2.1.5.1'
172.31.19.73,172.31.19.54,SNMP,178,'get-response 1.3.6.1.4.1.253.8.51.8.2.1.2.1 1.3.6.1.4.1.253.8.51.8.2.1.3.1 1.3.6.1.4.1.253.8.51.8.2.1.4.1 1.3.6.1.4.1.253.8.51.8.2.1.5.1'
172.31.19.54,172.31.19.73,SNMP,90,'set-request 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1'
172.31.19.73,172.31.19.54,SNMP,90,'get-response 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1'
172.31.19.54,172.31.19.73,SNMP,204,'set-request 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130101 1.3.6.1.4.1.253.8.51.10.2.1.5.10.14130400 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130102 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130104'
172.31.19.73,172.31.19.54,SNMP,204,'get-response 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130101 1.3.6.1.4.1.253.8.51.10.2.1.5.10.14130400 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130102 1.3.6.1.4.1.253.8.51.10.2.1.7.10.14130104'
172.31.19.54,172.31.19.73,SNMP,134,'set-request 1.3.6.1.4.1.253.8.51.9.2.1.2.10.1 1.3.6.1.4.1.253.8.51.9.2.1.4.10.1 1.3.6.1.4.1.253.8.51.9.2.1.3.10.1'
