"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.31.19.54","172.31.19.73","SNMP","82","get-request 1.3.6.1.2.1.1.2.0"
"2","0.000673","172.31.19.73","172.31.19.54","SNMP","100","get-response 1.3.6.1.2.1.1.2.0"
"3","0.003623","172.31.19.54","172.31.19.73","SNMP","96","get-request 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0"
"4","0.009495","172.31.19.73","172.31.19.54","SNMP","115","get-response 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0"
"5","0.012212","172.31.19.54","172.31.19.73","SNMP","84","get-request 1.3.6.1.2.1.2.2.1.6.1"
"6","0.012966","172.31.19.73","172.31.19.54","SNMP","90","get-response 1.3.6.1.2.1.2.2.1.6.1"
"7","0.016247","172.31.19.54","172.31.19.73","SNMP","140","get-request 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130104 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130102 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14130400"
"8","0.022827","172.31.19.73","172.31.19.54","SNMP","165","get-response 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130104 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130102 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14130400"
"9","0.025662","172.31.19.54","172.31.19.73","SNMP","86","get-request 1.3.6.1.2.1.43.14.1.1.6.1.5"
"10","0.026500","172.31.19.73","172.31.19.54","SNMP","87","get-response 1.3.6.1.2.1.43.14.1.1.6.1.5"
"11","0.029169","172.31.19.54","172.31.19.73","SNMP","92","get-request 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14150900"
"12","0.031899","172.31.19.73","172.31.19.54","SNMP","93","get-response 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14150900"
"13","0.035280","172.31.19.54","172.31.19.73","SNMP","82","get-request 1.3.6.1.2.1.1.2.0"
"14","0.035941","172.31.19.73","172.31.19.54","SNMP","100","get-response 1.3.6.1.2.1.1.2.0"
"15","0.038665","172.31.19.54","172.31.19.73","SNMP","96","get-request 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0"
"16","0.044576","172.31.19.73","172.31.19.54","SNMP","115","get-response 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0"
"17","0.047268","172.31.19.54","172.31.19.73","SNMP","84","get-request 1.3.6.1.2.1.2.2.1.6.1"
"18","0.048322","172.31.19.73","172.31.19.54","SNMP","90","get-response 1.3.6.1.2.1.2.2.1.6.1"
"19","0.051193","172.31.19.54","172.31.19.73","SNMP","140","get-request 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130104 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130102 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14130400"
"20","0.057698","172.31.19.73","172.31.19.54","SNMP","165","get-response 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130104 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130102 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14130400"
"21","0.060502","172.31.19.54","172.31.19.73","SNMP","86","get-request 1.3.6.1.2.1.43.14.1.1.6.1.5"
"22","0.061370","172.31.19.73","172.31.19.54","SNMP","87","get-response 1.3.6.1.2.1.43.14.1.1.6.1.5"
"23","0.064033","172.31.19.54","172.31.19.73","SNMP","92","get-request 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14150900"
"24","0.066762","172.31.19.73","172.31.19.54","SNMP","93","get-response 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14150900"
"25","7.131717","172.31.19.54","172.31.19.73","SNMP","82","get-request 1.3.6.1.2.1.1.2.0"
"26","7.132413","172.31.19.73","172.31.19.54","SNMP","100","get-response 1.3.6.1.2.1.1.2.0"
"27","7.135999","172.31.19.54","172.31.19.73","SNMP","96","get-request 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0"
"28","7.141885","172.31.19.73","172.31.19.54","SNMP","115","get-response 1.3.6.1.2.1.1.5.0 1.3.6.1.2.1.1.6.0"
"29","7.144767","172.31.19.54","172.31.19.73","SNMP","84","get-request 1.3.6.1.2.1.2.2.1.6.1"
"30","7.145542","172.31.19.73","172.31.19.54","SNMP","90","get-response 1.3.6.1.2.1.2.2.1.6.1"
"31","7.148279","172.31.19.54","172.31.19.73","SNMP","140","get-request 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130104 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130102 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14130400"
"32","7.154784","172.31.19.73","172.31.19.54","SNMP","165","get-response 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130104 1.3.6.1.4.1.253.8.64.4.2.1.7.10.14130102 1.3.6.1.4.1.253.8.64.4.2.1.5.10.14130400"
"33","7.157504","172.31.19.54","172.31.19.73","SNMP","86","get-request 1.3.6.1.2.1.43.14.1.1.6.1.5"
"34","7.158605","172.31.19.73","172.31.19.54","SNMP","87","get-response 1.3.6.1.2.1.43.14.1.1.6.1.5"
