@relation torrent

@attribute Source {10.10.10.23,10.10.10.22}
@attribute Destination {10.10.10.22,10.10.10.23}
@attribute Protocol {BitTorrent}
@attribute Length numeric
@attribute Info {'Handshake  ','Handshake  Extended  Bitfield, Len:0x35  Have, Piece (Idx:0x8a)  Have, Piece (Idx:0xa0)  Have, Piece (Idx:0x59)  Have, Piece (Idx:0x15c)  Have, Piece (Idx:0x130)  Have, Piece (Idx:0x120)  Have, Piece (Idx:0x105)  Have, Piece (Idx:0x44)  Have, Piece (Idx:0xd9)  Have, Piece (Idx:0xae)  Have, Piece (Idx:0x17e)  Have, Piece (Idx:0x153)  Have, Piece (Idx:0x123)  Have, Piece (Idx:0xf0)  Have, Piece (Idx:0x2c)  Have, Piece (Idx:0x117)  Have, Piece (Idx:0x13)  Have, Piece (Idx:0x31)  Have, Piece (Idx:0x14f)  Have, Piece (Idx:0xb9)  Have, Piece (Idx:0x19b)  Have, Piece (Idx:0x5d)  Have, Piece (Idx:0xf4)  Have, Piece (Idx:0x1f)  ','Extended  Interested  ','Unchoke  ','Request, Piece (Idx:0x48,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x48,Begin:0x4000,Len:0x4000)  ','[TCP Previous segment not captured] Continuation data  ','[TCP ACKed unseen segment] Request, Piece (Idx:0x48,Begin:0x8000,Len:0x4000)  ','[TCP ACKed unseen segment] Request, Piece (Idx:0x48,Begin:0xc000,Len:0x4000)  ','[TCP ACKed unseen segment] Request, Piece (Idx:0x156,Begin:0x0,Len:0x4000)  ','[TCP ACKed unseen segment] Request, Piece (Idx:0x156,Begin:0x4000,Len:0x4000)  ','[TCP ACKed unseen segment] Request, Piece (Idx:0x156,Begin:0x8000,Len:0x4000)  ','[TCP ACKed unseen segment] Request, Piece (Idx:0x156,Begin:0xc000,Len:0x4000)  Request, Piece (Idx:0x157,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x157,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x157,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x157,Begin:0xc000,Len:0x4000)  ','[TCP ACKed unseen segment] Request, Piece (Idx:0x140,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x140,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x140,Begin:0x8000,Len:0x4000)  ','[TCP ACKed unseen segment] Have, Piece (Idx:0x48)  Request, Piece (Idx:0x140,Begin:0xc000,Len:0x4000)  Request, Piece (Idx:0x37,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x37,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x37,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x37,Begin:0xc000,Len:0x4000)  ','[TCP Previous segment not captured] Unchoke  ','[TCP ACKed unseen segment] Request, Piece (Idx:0xf,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0xf,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0xf,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0xf,Begin:0xc000,Len:0x4000)  ','[TCP ACKed unseen segment] Request, Piece (Idx:0x36,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x36,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x36,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x36,Begin:0xc000,Len:0x4000)  ','[TCP ACKed unseen segment] Request, Piece (Idx:0x10d,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x10d,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x10d,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x10d,Begin:0xc000,Len:0x4000)  ','[TCP ACKed unseen segment] Request, Piece (Idx:0xe5,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0xe5,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0xe5,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0xe5,Begin:0xc000,Len:0x4000)  ','[TCP ACKed unseen segment] Have, Piece (Idx:0x156)  Have, Piece (Idx:0xf)  Have, Piece (Idx:0x37)  Have, Piece (Idx:0x140)  Have, Piece (Idx:0x157)  Request, Piece (Idx:0x106,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x106,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x106,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x106,Begin:0xc000,Len:0x4000)  ','[TCP ACKed unseen segment] Have, Piece (Idx:0x36)  Request, Piece (Idx:0x178,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0x178,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0x178,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0x178,Begin:0xc000,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0x0,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0x4000,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0x8000,Len:0x4000)  Request, Piece (Idx:0xec,Begin:0xc000,Len:0x4000)  ','[TCP Previous segment not captured] Port  ','[TCP ACKed unseen segment] [TCP Previous segment not captured] Continuation data  '}

@data
10.10.10.22,10.10.10.23,BitTorrent,445,'Handshake  Extended  Bitfield, Len:0x35  Have, Piece (Idx:0x8a)  Have, Piece (Idx:0xa0)  Have, Piece (Idx:0x59)  Have, Piece (Idx:0x15c)  Have, Piece (Idx:0x130)  Have, Piece (Idx:0x120)  Have, Piece (Idx:0x105)  Have, Piece (Idx:0x44)  Have, Piece (Idx:0xd9)  Have, Piece (Idx:0xae)  Have, Piece (Idx:0x17e)  Have, Piece (Idx:0x153)  Have, Piece (Idx:0x123)  Have, Piece (Idx:0xf0)  Have, Piece (Idx:0x2c)  Have, Piece (Idx:0x117)  Have, Piece (Idx:0x13)  Have, Piece (Idx:0x31)  Have, Piece (Idx:0x14f)  Have, Piece (Idx:0xb9)  Have, Piece (Idx:0x19b)  Have, Piece (Idx:0x5d)  Have, Piece (Idx:0xf4)  Have, Piece (Idx:0x1f)  '
10.10.10.22,10.10.10.23,BitTorrent,60,'Unchoke  '
10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,728,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,728,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,1514,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,728,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Continuation data  '
10.10.10.22,10.10.10.23,BitTorrent,391,'[TCP Previous segment not captured] Unchoke  '
